ID,PlayerName,GamesPlayed,GamesStarted,TotalSteals,StealsPerGame
1,D. Daniels,9,9,30,3.33
2,J. Poole,9,9,21,2.33
3,T. Eason,11,0,21,1.91
4,J. Williams,11,11,21,1.91
5,B. Adebayo,9,9,17,1.89
6,S. Curry,7,7,13,1.86
7,A. Caruso,11,0,19,1.73
8,D. DeRozan,11,11,19,1.73tt
9,S. Gilgeous-Alexander,11,11,19,1.73
10,N. Jokic,10,10,17,1.70
11,F. VanVleet,10,10,17,1.70
12,O. Anunoby,9,9,15,1.67
13,T. Camara,11,11,18,1.64
14,D. Fox,11,11,18,1.64
15,J. Tatum,11,11,18,1.64
16,D. DiVincenzo,10,0,16,1.60
17,K. Irving,10,10,16,1.60
18,H. Highsmith,7,1,11,1.57
19,P. Washington,7,7,11,1.57
20,A. Drummond,9,9,14,1.56
21,J. Alvarado,11,7,17,1.55
22,K. Caldwell-Pope,11,11,17,1.55
23,J. Harden,11,11,17,1.55
24,J. Suggs,11,11,17,1.55
25,C. White,11,11,17,1.55
26,L. Ball,10,10,15,1.50
27,J. Butler,8,8,12,1.50
28,K. Ellis,10,1,15,1.50
29,T. Jerome,12,0,18,1.50
30,D. Mitchell,12,12,18,1.50
31,R. Westbrook,10,3,15,1.50
32,J. Green,11,1,16,1.45
33,C. Wallace,11,4,16,1.45
34,C. Carrington,9,8,13,1.44
35,J. Jackson Jr.,9,9,13,1.44
36,T. Maxey,7,7,10,1.43
37,D. Garland,12,12,17,1.42
38,A. Reaves,10,10,14,1.40
39,B. Beal,8,8,11,1.38
40,B. Boston Jr.,8,4,11,1.38
41,L. Dort,11,11,15,1.36
42,J. Johnson,11,11,15,1.36
43,D. Schroder,11,11,15,1.36
44,F. Wagner,11,11,15,1.36
45,V. Wembanyama,11,11,15,1.36
46,A. Davis,9,9,12,1.33
47,M. Conley,10,10,13,1.30
48,L. Doncic,10,10,13,1.30
49,T. Haliburton,10,10,13,1.30
50,G. Williams,10,1,13,1.30
51,O. Agbaji,11,9,14,1.27
52,N. Powell,11,11,14,1.27
53,T. Young,11,11,14,1.27
54,M. Bridges,9,9,11,1.22
55,K. Huerter,9,9,11,1.22
56,K. Lowry,9,6,11,1.22
57,D. Finney-Smith,10,10,12,1.20
58,C. LeVert,10,0,12,1.20
59,C. Paul,11,11,13,1.18
60,B. Coulibaly,9,9,10,1.11
61,J. Hart,9,9,10,1.11
62,N. Jovic,9,8,10,1.11
63,M. McBride,9,0,10,1.11
64,K. Anderson,10,0,11,1.10
65,A. Horford,10,10,11,1.10
66,T. Jones,10,10,11,1.10
67,M. Porter Jr.,10,10,11,1.10
68,G. Dick,11,11,12,1.09
69,D. Jones Jr.,11,11,12,1.09
70,P. Williams,11,11,12,1.09
71,D. Avdija,11,10,11,1.00
72,D. Banton,9,0,9,1.00
73,R. Barrett,8,8,8,1.00
74,D. Booker,10,10,10,1.00
75,J. Collins,9,0,9,1.00
76,D. Lillard,10,10,10,1.00
77,K. Looney,9,0,9,1.00
78,B. Lopez,10,10,10,1.00
79,N. Marshall,10,3,10,1.00
80,E. Mobley,12,12,12,1.00
81,J. Mogbo,11,1,11,1.00
82,K. Oubre Jr.,9,9,9,1.00
83,S. Pippen Jr.,11,2,11,1.00
84,B. Podziemski,9,3,9,1.00
85,J. Poeltl,11,11,11,1.00
86,T. Prince,10,10,10,1.00
87,P. Pritchard,11,0,11,1.00
88,J. Strawther,10,0,10,1.00
89,A. Thompson,11,1,11,1.00
90,D. Wade,10,7,10,1.00
91,J. Walker,10,0,10,1.00
92,D. White,11,11,11,1.00
93,Z. Williams,11,1,11,1.00
94,D. Ayton,11,11,10,0.91
95,S. Castle,11,4,10,0.91
96,B. Clarke,11,2,10,0.91
97,K. Dunn,11,0,10,0.91
98,J. Green,11,11,10,0.91
99,D. Mitchell,11,8,10,0.91
100,A. Wiggins,11,4,10,0.91
101,J. LaRavia,11,0,10,0.91
102,J. Phillips,11,0,10,0.91
103,Z. Risacher,11,9,10,0.91
104,A. Sengun,11,11,10,0.91
105,C. Braun,10,10,9,0.90
106,A. Edwards,10,10,9,0.90
107,D. Green,10,10,9,0.90
108,J. Kuminga,10,3,9,0.90
109,C. Martin,10,3,9,0.90
110,G. Mathews,10,0,9,0.90
111,M. Monk,10,0,9,0.90
112,D. Russell,10,8,9,0.90
113,P. Watson,10,3,9,0.90
114,K. George,9,4,8,0.89
115,A. Jackson Jr.,9,3,8,0.89
116,C. Martin,9,8,8,0.89
117,T. McConnell,9,0,8,0.89
118,T. Rozier,9,9,8,0.89
119,C. Sexton,9,7,8,0.89
120,M. Turner,9,9,8,0.89
121,G. Yabusele,9,0,8,0.89
122,G. Allen,8,0,7,0.88
123,B. Simmons,8,6,7,0.88
124,J. Murray,7,7,6,0.86
125,A. Nembhard,7,7,6,0.86
126,J. Allen,12,12,10,0.83
127,Z. Edey,11,9,9,0.82
128,J. Giddey,11,11,9,0.82
129,J. Grant,11,11,9,0.82
130,T. Harris,11,11,9,0.82
131,S. Henderson,11,0,9,0.82
132,B. Ingram,11,11,9,0.82
133,J. Ivey,11,11,9,0.82
134,K. Johnson,11,0,9,0.82
135,A. Mitchell,11,0,9,0.82
136,C. Thomas,11,11,9,0.82
137,N. Alexander-Walker,10,0,8,0.80
138,B. Hield,10,1,8,0.80
139,C. Holmgren,10,10,8,0.80
140,J. Nurkic,10,10,8,0.80
141,P. Siakam,10,10,8,0.80
142,C. Anthony,9,0,7,0.78
143,K. Durant,9,9,7,0.78
144,K. Wallace,9,0,7,0.78
145,S. Hauser,8,0,6,0.75
146,J. Isaac,8,0,6,0.75
147,Z. LaVine,8,8,6,0.75
148,G. Trent Jr.,8,7,6,0.75
149,A. Wiggins,8,8,6,0.75
150,I. Joe,11,4,8,0.73
151,S. Aldama,11,9,8,0.73
152,D. Brooks,11,11,8,0.73
153,J. Champagnie,11,11,8,0.73
154,O. Dieng,11,0,8,0.73
155,K. Porter,11,0,8,0.73
156,D. Sabonis,11,11,8,0.73
157,A. Simons,11,11,8,0.73
158,I. Zubac,11,11,8,0.73
159,J. Clarkson,7,2,5,0.71
160,A. Gordon,7,7,5,0.71
161,T. Mann,10,0,7,0.70
162,J. McDaniels,10,10,7,0.70
163,R. O'Neale,10,0,7,0.70
164,G. Payton II,10,2,7,0.70
165,J. Randle,10,10,7,0.70
166,R. Hachimura,9,9,6,0.67
167,C. Kispert,9,0,6,0.67
168,S. Merrill,12,0,8,0.67
169,P. Mills,9,0,6,0.67
170,O. Okongwu,9,0,6,0.67
171,I. Okoro,12,5,8,0.67
172,D. Roddy,9,1,6,0.67
173,M. Beasley,11,0,7,0.64
174,A. Black,11,1,7,0.64
175,A. Coffey,11,0,7,0.64
176,Z. Collins,11,0,7,0.64
177,C. Johnson,11,11,7,0.64
178,J. Robinson-Earl,11,2,7,0.64
179,N. Vucevic,11,11,7,0.64
180,M. Wagner,11,1,7,0.64
181,J. Butler,8,0,5,0.63
182,J. Morant,8,8,5,0.63
183,N. Claxton,10,4,6,0.60
184,L. James,10,10,6,0.60
185,R. Rupert,10,0,6,0.60
186,K. Thompson,10,10,6,0.60
187,G. Vincent,10,0,6,0.60
188,M. Branham,9,0,5,0.56
189,S. Curry,9,4,5,0.56
190,A. Green,9,0,5,0.56
191,J. Smith,9,0,5,0.56
192,O. Toppin,9,0,5,0.56
193,K. Towns,9,9,5,0.56
194,J. Valanciunas,9,2,5,0.56
195,C. Williams,9,6,5,0.56
196,C. Boucher,11,0,6,0.55
197,C. Cunningham,11,11,6,0.55
198,T. Lyles,11,0,6,0.55
199,Y. Missi,11,6,6,0.55
200,K. Murray,11,0,6,0.55
201,N. Batum,11,0,6,0.55
202,I. Stewart,11,2,6,0.55
203,M. Bridges,8,8,4,0.50
204,M. Christie,10,0,5,0.50
205,D. Gafford,10,10,5,0.50
206,K. George,8,8,4,0.50
207,R. Gobert,10,10,5,0.50
208,J. Green,8,7,4,0.50
209,L. Kornet,10,2,5,0.50
210,B. Mathurin,10,5,5,0.50
211,J. McLaughlin,8,0,4,0.50
212,B. Portis,10,1,5,0.50
213,T. Hardaway Jr.,11,11,5,0.45
214,T. Mann,11,11,5,0.45
215,D. Terry,11,0,5,0.45
216,G. Antetokounmpo,9,9,4,0.44
217,J. Brunson,9,9,4,0.44
218,N. Clowney,9,1,4,0.44
219,R. Dunn,9,3,4,0.44
220,Q. Grimes,9,0,4,0.44
221,W. Kessler,9,9,4,0.44
222,G. Niang,12,0,5,0.42
223,M. Moody,10,4,4,0.40
224,M. Plumlee,10,0,4,0.40
225,N. Reid,10,0,4,0.40
226,B. Wesley,10,0,4,0.40
227,K. Martin Jr.,8,1,3,0.38
228,T. Salaun,8,2,3,0.38
229,B. Sensabaugh,8,0,3,0.38
230,C. Capela,11,11,4,0.36
231,D. Clingan,11,0,4,0.36
232,J. Holiday,11,11,4,0.36
233,K. Murray,11,11,4,0.36
234,J. Shead,11,0,4,0.36
235,J. Smith,11,11,4,0.36
236,J. Wells,11,6,4,0.36
237,J. Duren,9,9,3,0.33
238,T. Herro,9,9,3,0.33
239,J. McCain,9,0,3,0.33
240,D. Powell,9,0,3,0.33
241,X. Tillman,9,1,3,0.33
242,J. Walsh,9,0,3,0.33
243,L. Waters III,9,1,3,0.33
244,J. Hayes,10,1,3,0.30
245,K. Johnson,10,0,3,0.30
246,D. Knecht,10,1,3,0.30
247,P. Baldwin Jr.,7,0,2,0.29
248,A. Gill,7,0,2,0.29
249,T. Kolek,7,0,2,0.29
250,D. Wright,7,0,2,0.29
251,J. Huff,11,0,3,0.27
252,R. Sheppard,11,0,3,0.27
253,D. Theis,11,5,3,0.27
254,J. Wilson,11,0,3,0.27
255,K. Filipowski,8,3,2,0.25
256,A. Len,8,0,2,0.25
257,S. Milton,8,0,2,0.25
258,R. Rollins,8,0,2,0.25
259,S. Dinwiddie,9,0,2,0.22
260,J. Hardy,9,0,2,0.22
261,J. Sims,9,0,2,0.22
262,P. Connaughton,10,0,2,0.20
263,M. Diabate,10,0,2,0.20
264,D. Jones,10,0,2,0.20
265,N. Queta,10,2,2,0.20
266,B. Sheppard,10,2,2,0.20
267,J. Walker,10,0,2,0.20
268,H. Barnes,11,11,2,0.18
269,S. Fontecchio,11,0,2,0.18
270,M. Beauchamp,7,0,1,0.14
271,T. Bryant,7,0,1,0.14
272,J. Davis,8,0,1,0.13
273,B. Fernando,8,0,1,0.13
274,E. Gordon,8,1,1,0.13
275,J. Hawkins,8,3,1,0.13
276,D. Robinson,8,0,1,0.13
277,S. Mamukelashvili,9,0,1,0.11
278,G. Harris,10,0,1,0.10
279,T. Jackson-Davis,10,10,1,0.10
280,A. Dosunmu,11,3,1,0.09
281,J. Howard,11,0,1,0.09
282,M. Bagley III,7,0,0,0.00
283,J. Battle,10,0,0,0.00
284,T. Horton-Tucker,8,0,0,0.00
285,K. Jones,9,0,0,0.00
286,Y. Kawamura,8,0,0,0.00
287,O. Prosper,7,0,0,0.00
288,T. Smith,7,0,0,0.00
